Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer,Segment,Sub.Segment,Brand,Sub.Brand,Packsize,Product.Type,APN,Vol.Sales,Wtd.Selling.Dist,PPG_Retailer,Price,WeekNum,Month,Quarter,Year,Month_Year
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 175,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 177,3.05316,85.4,Promo.Group 20__Retailer 0,0.009081990462340657,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,200.0,Product.Type 3,APN 178,0.0002,0.2,Promo.Group 20__Retailer 0,0.02,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 179,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 182,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 183,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 184,4.03568,99.9,Promo.Group 20__Retailer 0,0.009030386700630376,36,9,3,2018,9__2018
2018-09-09,Promo.Group 20,1,0,0,0,0,0,Retailer 0,Sharepacks,,Brand 1,Sub.Brand 63,210.0,Product.Type 3,APN 581,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,36,9,3,2018,9__2018
2018-09-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 160,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,37,9,3,2018,9__2018
2018-09-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 161,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,37,9,3,2018,9__2018
2018-09-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 164,0.90992,99.6,Promo.Group 20__Retailer 0,0.01777502747494285,37,9,3,2018,9__2018
2018-09-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 165,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,37,9,3,2018,9__2018
2018-09-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,220.0,Product.Type 3,APN 167,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,37,9,3,2018,9__2018
2018-09-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0,Candy Bags,,Brand 1,Sub.Brand 63,99.0,Product.Type 3,APN 168,0.0,0.0,Promo.Group 20__Retailer 0,0.01395671705487257,37,9,3,2018,9__2018
